Cliente,Tiempo de llegada a cola,tiempo de llegada (min),tiempo de llegada (horas),t (s),t(min),Hora entrada al servidor,Hora salida del servidor,Tiempo de atención (s),Tiempo de atención (min),Tiempo total (min)
0,08:00:00,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,08:01:26.700000,1.45,0.024166666666666666,3.54,0.059000000000000004,,,122.19,2.0364999999999998,2.0955
2,08:14:55.050000,14.917500000000006,0.2486250000000001,2.97,0.0495,,,81.13,1.3521666666666665,1.4016666666666666
3,08:18:49.990000,18.833166666666745,0.3138861111111124,2.06,0.034333333333333334,,,278.07,4.6345,4.668833333333334
4,08:23:48.610000,23.81016666666674,0.39683611111111233,3.76,0.06266666666666666,,,203.02,3.383666666666667,3.446333333333334
5,08:28:22.630000,28.37716666666668,0.47295277777777806,5.03,0.08383333333333334,,,94.09,1.5681666666666667,1.6520000000000001
6,08:35:03.620000,35.06033333333336,0.5843388888888893,1.91,0.03183333333333333,,,54.0,0.9,0.9318333333333334
7,08:37:27.750000,37.46250000000006,0.624375000000001,5.97,0.09949999999999999,,,136.05,2.2675,2.367
8,08:40:01.160000,40.01933333333332,0.6669888888888887,2.98,0.049666666666666665,,,118.01,1.9668333333333334,2.0165
9,08:41:56.010000,41.933500000000016,0.6988916666666669,3.23,0.05383333333333333,,,97.02,1.617,1.6708333333333334
10,08:46:17.330000,46.28883333333342,0.7714805555555571,2.95,0.04916666666666667,,,86.03,1.4338333333333333,1.4829999999999999
11,08:53:45.180000,53.75300000000003,0.8958833333333338,152.38,2.5396666666666667,,,84.08,1.4013333333333333,3.941
12,08:53:46.880000,53.781333333333386,0.8963555555555565,,,,,86.02,1.4336666666666666,1.4336666666666666
13,08:56:25.380000,56.423000000000016,0.9403833333333336,249.06,4.151,,,69.06,1.151,5.302
14,,,,,,,,58.03,0.9671666666666667,0.9671666666666667
15,08:58:15.130000,58.25216666666671,0.9708694444444451,,,,,93.98,1.5663333333333334,1.5663333333333334
16,09:04:15,64.25000000000006,1.0708333333333342,2.02,0.033666666666666664,,,,,
17,09:05:28,65.4666666666667,1.0911111111111116,,,,,98.91,1.6484999999999999,1.6484999999999999
18,09:05:28,65.4666666666667,1.0911111111111116,,,,,308.92,5.148666666666667,5.148666666666667
19,09:05:28,65.4666666666667,1.0911111111111116,,,,,73.17,1.2195,1.2195
20,09:09:02,69.03333333333339,1.1505555555555564,446.38,7.439666666666667,,,66.34,1.1056666666666668,8.545333333333334
21,09:18:18,78.30000000000001,1.3050000000000002,1.2,0.02,,,275.15,4.5858333333333325,4.605833333333332
22,09:19:30,79.50000000000004,1.3250000000000006,203.33,3.3888333333333334,,,218.67,3.6445,7.033333333333333
23,09:19:30,79.50000000000004,1.3250000000000006,423.56,7.059333333333333,,,61.85,1.0308333333333333,8.090166666666667
24,09:19:32,79.53333333333335,1.3255555555555558,250.0,4.166666666666667,,,119.56,1.9926666666666668,6.1593333333333335
25,09:32:09,92.15000000000002,1.5358333333333336,3.97,0.06616666666666667,,,23.01,0.3835,0.44966666666666666
26,09:33:03,93.05,1.5508333333333333,2.56,0.042666666666666665,,,87.85,1.4641666666666666,1.5068333333333332
27,09:41:01,101.01666666666665,1.683611111111111,153.58,2.5596666666666668,,,164.07,2.7344999999999997,5.2941666666666665
28,09:42:49,102.81666666666669,1.7136111111111114,207.06,3.451,,,46.42,0.7736666666666667,4.224666666666667
29,09:42:55,102.91666666666671,1.7152777777777786,287.0,4.783333333333333,,,102.21,1.7034999999999998,6.486833333333333
30,09:47:06,107.10000000000004,1.7850000000000006,,,,,46.58,0.7763333333333333,0.7763333333333333
31,,,,,,,,32.09,0.5348333333333334,0.5348333333333334
32,,,,,,,,591.19,9.853166666666668,9.853166666666668
33,,,,,,,,70.0,1.1666666666666667,1.1666666666666667
34,09:50:18,110.30000000000005,1.8383333333333343,,,,,38.0,0.6333333333333333,0.6333333333333333
35,,,,,,,,18.0,0.3,0.3
36,09:52:41,112.68333333333334,1.8780555555555556,44.00000000000048,0.7333333333333414,09:53:25,09:54:18,53.0,0.8833333333333333,1.6166666666666747
37,09:56:54,116.90000000000005,1.9483333333333341,3.000000000000469,0.050000000000007816,09:56:57,09:58:42,105.0,1.75,1.8000000000000078
38,09:58:30,118.50000000000006,1.975000000000001,11.99999999999708,0.19999999999995133,09:58:42,10:00:42,119.99999999999957,2.0,2.1999999999999513
39,09:59:01,119.01666666666668,1.9836111111111114,138.99999999999935,2.3166666666666558,10:01:20,10:02:52,92.00000000000318,1.53,3.846666666666656
40,09:59:57,119.95000000000005,1.9991666666666674,175.00000000000017,2.9166666666666696,10:02:52,10:03:43,50.99999999999838,0.85,3.7666666666666697
41,10:01:54,121.90000000000003,2.031666666666667,108.99999999999946,1.8166666666666578,10:03:43,10:04:56,72.99999999999862,1.22,3.0366666666666577
42,10:01:54,121.90000000000003,2.031666666666667,214.99999999999844,3.5833333333333073,10:05:29,10:08:10,160.9999999999996,2.68,6.263333333333307
43,10:08:48,128.79999999999998,2.1466666666666665,4.000000000002224,0.06666666666670373,10:08:52,10:11:42,170.000000000001,2.83,2.896666666666704
44,10:15:50,135.83333333333337,2.2638888888888897,1.999999999998714,0.0333333333333119,10:15:52,10:18:40,168.00000000000227,2.8,2.8333333333333117
45,10:20:55,140.91666666666666,2.348611111111111,5.000000000003979,0.08333333333339965,10:21:00,10:22:17,76.99999999999605,1.28,1.3633333333333997
46,10:26:34,146.56666666666666,2.4427777777777777,5.000000000003979,0.08333333333339965,10:26:39,10:27:31,52.000000000000135,0.87,0.9533333333333996
47,10:26:34,146.56666666666666,2.4427777777777777,57.000000000004114,0.9500000000000686,10:27:31,10:28:31,59.99999999999979,1.0,1.9500000000000686
48,10:27:16,147.26666666666668,2.454444444444445,75.00000000000213,1.2500000000000355,10:28:31,10:29:33,61.9999999999985,1.03,2.2800000000000358
49,10:28:15,148.25,2.470833333333333,78.0000000000026,1.3000000000000433,10:29:33,10:31:20,107.00000000000074,1.78,3.0800000000000436
50,10:29:08,149.13333333333335,2.485555555555556,132.00000000000145,2.200000000000024,10:31:20,10:32:45,85.0000000000005,1.42,3.620000000000024
51,10:31:10,151.16666666666666,2.5194444444444444,35.00000000000387,0.5833333333333979,10:31:45,10:34:08,142.99999999999676,2.38,2.9633333333333978
52,10:31:10,151.16666666666666,2.5194444444444444,178.00000000000065,2.9666666666666774,10:34:08,10:34:58,50.00000000000142,0.83,3.7966666666666775
53,10:31:49,151.8166666666667,2.530277777777778,189.00000000000077,3.150000000000013,10:34:58,10:37:23,145.00000000000028,2.42,5.570000000000013
54,10:35:35,155.58333333333331,2.5930555555555554,108.0000000000025,1.8000000000000418,10:37:23,10:38:47,83.99999999999875,1.4,3.200000000000042
55,10:35:56,155.9333333333334,2.5988888888888897,170.99999999999795,2.849999999999966,10:38:47,10:41:26,159.00000000000088,2.65,5.499999999999966
56,10:38:30,158.5,2.6416666666666666,176.00000000000193,2.9333333333333655,10:41:26,10:43:48,141.99999999999983,2.37,5.303333333333366
57,10:39:56,159.93333333333337,2.665555555555556,231.9999999999995,3.8666666666666583,10:43:48,10:46:52,184.0000000000016,3.07,6.9366666666666585
58,10:42:45,162.75000000000003,2.7125000000000004,247.00000000000185,4.116666666666697,10:46:52,10:50:23,210.99999999999622,3.52,7.636666666666697
59,10:42:57,162.95000000000005,2.715833333333334,445.9999999999962,7.43333333333327,10:50:23,10:51:33,70.00000000000296,1.17,8.60333333333327
60,10:47:00,167.00000000000006,2.783333333333334,272.9999999999995,4.549999999999992,10:51:33,10:52:14,41.000000000000014,0.68,5.2299999999999915
61,10:54:12,174.20000000000005,2.903333333333334,1.999999999998714,0.0333333333333119,10:54:14,10:56:02,107.9999999999977,1.8,1.833333333333312
62,10:54:20,174.33333333333337,2.9055555555555563,101.99999999999676,1.699999999999946,10:56:02,10:58:05,123.00000000000004,2.05,3.749999999999946
63,10:54:33,174.55000000000004,2.909166666666667,211.99999999999795,3.533333333333299,10:58:05,11:00:20,135.00000000000193,2.25,5.7833333333332995
64,10:55:02,175.03333333333333,2.917222222222222,318.00000000000176,5.300000000000029,11:00:20,11:01:31,70.99999999999991,1.18,6.480000000000029
65,10:56:44,176.73333333333335,2.945555555555556,287.0000000000001,4.783333333333335,11:01:31,11:03:45,134.00000000000017,2.23,7.013333333333335
66,11:03:38,183.63333333333338,3.0605555555555566,6.999999999997897,0.11666666666663161,11:03:45,11:07:10,205.00000000000006,3.42,3.5366666666666315
67,11:05:41,185.6833333333334,3.0947222222222233,88.99999999999793,1.4833333333332988,11:07:10,11:07:53,42.99999999999873,0.72,2.2033333333332985
68,11:08:10,188.16666666666669,3.1361111111111115,4.999999999999183,0.08333333333331971,11:08:15,11:10:24,129.00000000000097,2.15,2.2333333333333196
69,11:08:31,188.51666666666665,3.141944444444444,113.00000000000168,1.8833333333333613,11:10:24,11:11:19,55.000000000000604,0.92,2.803333333333361
70,11:12:10,192.16666666666669,3.202777777777778,7.999999999999652,0.13333333333332753,11:12:18,11:14:12,114.00000000000344,1.9,2.0333333333333274
71,11:13:03,193.05000000000004,3.2175000000000007,69.0000000000012,1.15000000000002,11:14:12,11:14:38,25.99999999999767,0.43,1.5800000000000198
72,11:13:45,193.75,3.2291666666666665,53.00000000000189,0.8833333333333648,11:14:38,11:18:14,216.0000000000002,3.6,4.4833333333333645
73,11:17:19,197.3166666666667,3.2886111111111114,55.000000000000604,0.9166666666666767,11:18:14,11:20:02,107.9999999999977,1.8,2.7166666666666766
74,11:17:19,197.3166666666667,3.2886111111111114,162.9999999999983,2.7166666666666384,11:20:02,11:21:27,85.0000000000005,1.42,4.136666666666638
75,11:19:52,199.86666666666667,3.3311111111111114,94.99999999999886,1.5833333333333144,11:21:27,11:29:19,472.0000000000034,7.87,9.453333333333315
76,11:22:30,202.5,3.375,409.0000000000032,6.81666666666672,11:29:19,11:30:42,82.99999999999699,1.38,8.196666666666719
77,11:23:20,203.33333333333337,3.3888888888888897,441.99999999999875,7.366666666666646,11:30:42,11:32:29,107.00000000000074,1.78,9.146666666666645
78,11:24:53,204.88333333333335,3.4147222222222227,455.9999999999993,7.599999999999989,11:32:29,11:33:45,75.99999999999909,1.27,8.869999999999989
79,11:31:44,211.7333333333334,3.5288888888888903,120.99999999999653,2.016666666666609,11:33:45,11:34:32,47.00000000000095,0.78,2.796666666666609
80,11:32:00,212.00000000000006,3.533333333333334,151.99999999999818,2.533333333333303,11:34:32,11:35:27,55.000000000000604,0.92,3.453333333333303
81,11:32:00,212.00000000000006,3.533333333333334,206.99999999999878,3.4499999999999797,11:35:27,11:37:00,93.00000000000014,1.55,4.99999999999998
82,11:32:47,212.7833333333334,3.54638888888889,252.99999999999798,4.216666666666633,11:37:00,11:40:58,238.00000000000043,3.97,8.186666666666634
83,11:32:47,212.7833333333334,3.54638888888889,490.9999999999984,8.183333333333307,11:40:58,11:42:50,111.99999999999991,1.87,10.053333333333306
84,11:33:10,213.16666666666669,3.552777777777778,580.0000000000011,9.666666666666686,11:42:50,11:43:35,44.99999999999744,0.75,10.416666666666686
85,11:34:25,214.4166666666667,3.573611111111112,549.9999999999965,9.166666666666607,11:43:35,11:44:27,52.000000000000135,0.87,10.036666666666607
86,11:44:45,224.75000000000003,3.745833333333334,15.999999999999304,0.26666666666665506,11:45:01,11:49:15,253.99999999999974,4.23,4.4966666666666555
87,11:45:14,225.23333333333335,3.753888888888889,241.0000000000009,4.016666666666682,11:49:15,11:50:53,97.99999999999933,1.63,5.646666666666682
88,11:48:43,228.71666666666673,3.8119444444444452,129.99999999999795,2.1666666666666328,11:50:53,11:51:53,59.99999999999979,1.0,3.1666666666666328
89,11:53:00,233.00000000000006,3.883333333333334,4.999999999999183,0.08333333333331971,11:53:05,11:56:22,197.00000000000043,3.28,3.3633333333333195
90,11:53:30,233.50000000000006,3.8916666666666675,171.99999999999972,2.866666666666662,11:56:22,11:57:13,50.99999999999838,0.85,3.716666666666662
91,11:55:33,235.55000000000004,3.925833333333334,99.99999999999804,1.6666666666666339,11:57:13,11:58:57,104.00000000000027,1.73,3.3966666666666336
92,11:59:20,239.3333333333334,3.98888888888889,3.000000000000469,0.050000000000007816,11:59:23,12:01:10,106.99999999999594,1.78,1.8300000000000078
93,12:03:00,243.00000000000006,4.050000000000001,16.999999999996263,0.28333333333327104,12:03:17,12:08:42,324.99999999999966,5.42,5.703333333333271
94,12:08:02,248.03333333333342,4.13388888888889,39.99999999999346,0.6666666666665577,12:08:42,12:09:20,38.00000000000914,0.63,1.2966666666665576
95,12:11:13,251.21666666666667,4.186944444444444,2.00000000000351,0.033333333333391835,12:11:15,12:13:17,122.00000000000308,2.03,2.0633333333333916
96,12:13:28,253.46666666666664,4.224444444444444,5.000000000003979,0.08333333333339965,12:13:33,12:14:44,70.99999999999511,1.18,1.2633333333333996
97,12:13:42,253.7000000000001,4.228333333333335,61.999999999993705,1.0333333333332284,12:14:44,12:16:09,85.0000000000005,1.42,2.4533333333332283
98,12:14:16,254.26666666666665,4.237777777777778,113.00000000000168,1.8833333333333613,12:16:09,12:17:27,78.0000000000026,1.3,3.183333333333361
99,12:15:12,255.20000000000005,4.253333333333334,135.00000000000193,2.2500000000000324,12:17:27,12:18:28,60.999999999996746,1.02,3.2700000000000324
100,12:18:01,258.01666666666677,4.300277777777779,26.99999999999463,0.44999999999991047,12:18:28,12:21:10,162.00000000000614,2.7,3.1499999999999106
101,12:20:57,260.95000000000016,4.34916666666667,12.999999999998835,0.21666666666664725,12:21:10,12:22:43,92.99999999999535,1.55,1.7666666666666473
102,12:31:42,271.70000000000005,4.528333333333334,3.000000000000469,0.050000000000007816,12:31:45,12:33:27,101.99999999999676,1.7,1.7500000000000078
103,12:32:45,272.75000000000006,4.545833333333334,41.99999999999697,0.6999999999999496,12:33:27,12:34:50,83.00000000000658,1.38,2.0799999999999494
104,12:32:45,272.75000000000006,4.545833333333334,125.00000000000355,2.0833333333333925,12:34:50,12:35:52,61.999999999993705,1.03,3.113333333333393
105,12:38:38,278.6333333333334,4.64388888888889,3.999999999997428,0.0666666666666238,12:38:42,12:39:35,53.00000000000189,0.88,0.9466666666666238
