,NMESES_DEUDA_NOR100_1M,MAX_NRO_CUOTAS_AM_8D_ATRASO_3M,AVG_DEUDA_NOR_12M,MAX_NRO_CUOTAS_AM_15D_ATRASO_3M,MAX_NRO_CUOTAS_AM_8D_ATRASO_1M,MAX_DA_VIGENTE_RCC_3M,MAX_NRO_CUOTAS_AM_15D_ATRASO_1M,NMESES_DEUDA_NOR100_12M,MAX_DEUDA_CPP_3M,CALIF_VIGENTE_RCC_1M,MAX_DEUDA_NOR_3M,TARGET_COBRANZA
0,1.0,1.0,92.30769,0.0,0.0,3.0,0.0,12.0,0.0,0.0,100.0,0
1,1.0,0.0,92.276924,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,0
2,1.0,2.0,99.6975,1.0,1.0,9.0,0.0,11.0,3.63,0.0,100.0,0
3,1.0,1.0,92.30769,1.0,0.0,7.0,0.0,12.0,0.0,0.0,100.0,0
4,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
5,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
6,0.0,1.0,84.86692,0.0,1.0,77.0,0.0,8.0,46.46,1.0,88.15,0
7,1.0,0.0,23.076923,0.0,0.0,0.0,0.0,3.0,0.0,0.0,100.0,0
8,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
9,1.0,2.0,76.92308,1.0,1.0,4.0,0.0,10.0,0.0,0.0,100.0,0
10,0.0,3.0,77.84385,1.0,1.0,11.0,1.0,10.0,93.0,1.0,100.0,0
11,0.0,0.0,85.93692,0.0,0.0,12.0,0.0,10.0,37.31,1.0,100.0,0
12,0.0,3.0,90.567696,3.0,1.0,3.0,1.0,0.0,0.0,0.0,97.95,0
13,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
14,1.0,0.0,92.30769,0.0,0.0,5.0,0.0,12.0,0.0,0.0,100.0,0
15,1.0,0.0,92.30769,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
16,1.0,2.0,92.30769,0.0,1.0,6.0,0.0,12.0,0.0,0.0,100.0,0
17,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
18,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
19,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
20,0.0,3.0,38.46154,3.0,1.0,25.0,1.0,5.0,100.0,1.0,100.0,0
21,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
22,1.0,3.0,92.30769,2.0,1.0,1.0,1.0,12.0,0.0,0.0,100.0,0
23,1.0,2.0,92.30769,0.0,1.0,1.0,0.0,12.0,0.0,0.0,100.0,0
24,0.0,3.0,61.53846,2.0,1.0,3.0,1.0,3.0,0.0,1.0,54.918,1
25,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
26,1.0,0.0,92.30769,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
27,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
28,1.0,0.0,92.30769,0.0,0.0,2.0,0.0,12.0,0.0,0.0,100.0,0
