Tiempo (h),Volumen almacenado (hm³),Elevación (m),Gasto de entrada (m³/s),Gasto de salida (m³/s)
0,1626.318,238,1578.25,0
1,1627.626,238.031,1578.25,1559.003
2,1627.643,238.032,1578.25,1577.996
3,1627.643,238.032,1578.25,1577.996
4,1627.643,238.032,1578.25,1577.996
5,1627.643,238.032,1578.25,1577.996
6,1627.643,238.032,1578.25,1577.996
7,1627.643,238.032,1578.25,1577.996
8,1627.643,238.032,1578.25,1577.996
9,1627.643,238.032,1578.25,1577.996
10,1627.643,238.032,1578.25,1577.996
11,1627.643,238.032,1578.25,1577.996
12,1627.643,238.032,1578.25,1577.996
13,1627.643,238.032,1578.25,1577.996
14,1627.643,238.032,1578.25,1577.996
15,1627.643,238.032,1578.25,1577.996
16,1627.643,238.032,1578.25,1577.996
17,1627.643,238.032,1578.25,1577.996
18,1627.643,238.032,1578.25,1577.996
19,1627.643,238.032,1578.25,1577.996
20,1627.643,238.032,1578.25,1577.996
21,1627.643,238.032,1578.25,1577.996
22,1627.643,238.032,1578.25,1577.996
23,1627.643,238.032,1578.25,1577.996
24,1627.643,238.032,1578.25,1577.996
25,1627.724,238.034,1703.69,1674.484
26,1627.748,238.034,1703.69,1703.355
27,1627.748,238.034,1703.69,1703.69
28,1627.748,238.034,1703.69,1703.69
29,1627.748,238.034,1703.69,1703.69
30,1627.748,238.034,1703.69,1703.69
31,1627.748,238.034,1703.69,1703.69
32,1627.748,238.034,1703.69,1703.69
33,1627.748,238.034,1703.69,1703.69
34,1627.748,238.034,1703.69,1703.69
35,1627.748,238.034,1703.69,1703.69
36,1627.748,238.034,1703.69,1703.69
37,1627.748,238.034,1703.69,1703.69
38,1627.748,238.034,1703.69,1703.69
39,1627.748,238.034,1703.69,1703.69
40,1627.748,238.034,1703.69,1703.69
41,1627.748,238.034,1703.69,1703.69
42,1627.748,238.034,1703.69,1703.69
43,1627.748,238.034,1703.69,1703.69
44,1627.748,238.034,1703.69,1703.69
45,1627.748,238.034,1703.69,1703.69
46,1627.748,238.034,1703.69,1703.69
47,1627.748,238.034,1703.69,1703.69
48,1627.748,238.034,1703.69,1703.69
49,1627.874,238.037,1899.28,1853.785
50,1627.912,238.038,1899.28,1898.61
51,1627.912,238.038,1899.28,1899.28
52,1627.912,238.038,1899.28,1899.28
53,1627.912,238.038,1899.28,1899.28
54,1627.912,238.038,1899.28,1899.28
55,1627.912,238.038,1899.28,1899.28
56,1627.912,238.038,1899.28,1899.28
57,1627.912,238.038,1899.28,1899.28
58,1627.912,238.038,1899.28,1899.28
59,1627.912,238.038,1899.28,1899.28
60,1627.912,238.038,1899.28,1899.28
61,1627.912,238.038,1899.28,1899.28
62,1627.912,238.038,1899.28,1899.28
63,1627.912,238.038,1899.28,1899.28
64,1627.912,238.038,1899.28,1899.28
65,1627.912,238.038,1899.28,1899.28
66,1627.912,238.038,1899.28,1899.28
67,1627.912,238.038,1899.28,1899.28
68,1627.912,238.038,1899.28,1899.28
69,1627.912,238.038,1899.28,1899.28
70,1627.912,238.038,1899.28,1899.28
71,1627.912,238.038,1899.28,1899.28
72,1627.912,238.038,1899.28,1899.28
73,1628.203,238.045,2350.02,2245.815
74,1628.29,238.047,2350.02,2349.14
75,1628.291,238.047,2350.02,2349.9
76,1628.291,238.047,2350.02,2349.9
77,1628.291,238.047,2350.02,2349.9
78,1628.291,238.047,2350.02,2349.9
79,1628.291,238.047,2350.02,2349.9
80,1628.291,238.047,2350.02,2349.9
81,1628.291,238.047,2350.02,2349.9
82,1628.291,238.047,2350.02,2349.9
83,1628.291,238.047,2350.02,2349.9
84,1628.291,238.047,2350.02,2349.9
85,1628.291,238.047,2350.02,2349.9
86,1628.291,238.047,2350.02,2349.9
87,1628.291,238.047,2350.02,2349.9
88,1628.291,238.047,2350.02,2349.9
89,1628.291,238.047,2350.02,2349.9
90,1628.291,238.047,2350.02,2349.9
91,1628.291,238.047,2350.02,2349.9
92,1628.291,238.047,2350.02,2349.9
93,1628.291,238.047,2350.02,2349.9
94,1628.291,238.047,2350.02,2349.9
95,1628.291,238.047,2350.02,2349.9
96,1628.291,238.047,2350.02,2349.9
97,1629.382,238.073,3174.06,2491.419
98,1633.311,238.167,3998.04,2498.385
99,1640.173,238.331,4822.02,2510.548
100,1649.948,238.565,5646,2527.874
101,1662.617,238.868,6469.98,2550.331
102,1669.919,239.043,7293.96,7198.724
103,1670.259,239.051,8117.94,7947.435
104,1672.311,239.1,8941.92,7980.336
105,1677.129,239.216,9765.9,8057.629
106,1684.56,239.393,10589.88,8176.806
107,1694.456,239.63,11413.86,8335.535
108,1706.678,239.922,12237.79,8531.585
109,1718.563,240.193,11625.59,8720.173
110,1727.653,240.396,11013.1,8861.359
111,1734.105,240.54,10400.61,8961.561
112,1738.061,240.629,9788.12,9023.013
113,1739.657,240.665,9175.63,9047.806
114,1739.023,240.65,8563.14,9037.943
115,1736.278,240.589,7950.65,8995.325
116,1731.538,240.483,7338.16,8921.709
117,1724.912,240.335,6725.67,8818.794
118,1716.502,240.147,6113.18,8688.169
119,1706.409,239.916,5500.69,8527.258
120,1694.74,239.637,4888.2,8340.098
121,1681.583,239.322,4275.38,8129.07
122,1669.064,239.022,4220.922,4969.81
123,1668.745,239.015,4166.823,4172.595
124,1668.724,239.014,4112.724,4118.352
125,1668.703,239.014,4058.625,4064.108
126,1668.682,239.013,4004.526,4011.508
127,1668.661,239.013,3950.427,3955.621
128,1668.641,239.012,3896.328,3901.377
129,1668.619,239.012,3842.229,3848.778
130,1668.598,239.011,3788.13,3794.534
131,1668.577,239.011,3734.031,3738.647
132,1668.556,239.01,3679.932,3686.047
133,1668.535,239.01,3625.833,3631.804
134,1668.514,239.009,3571.734,3577.56
135,1668.493,239.009,3517.635,3523.317
136,1668.472,239.008,3463.536,3469.073
137,1668.451,239.008,3409.437,3416.474
138,1668.43,239.007,3355.338,3362.23
139,1668.409,239.007,3301.239,3306.343
140,1668.388,239.006,3247.14,3253.743
141,1668.367,239.006,3193.041,3199.5
142,1668.346,239.005,3138.942,3145.256
143,1668.325,239.005,3084.843,3091.013
144,1668.305,239.004,3030.744,3036.769
145,1668.284,239.004,2977,2982.526
146,1667.995,238.997,2341.38,2559.865
147,1667.211,238.978,2341.38,2558.474
148,1666.432,238.96,2341.38,2557.094
149,1665.658,238.941,2341.38,2555.722
150,1664.889,238.923,2341.38,2554.359
151,1664.125,238.904,2341.38,2553.004
152,1663.365,238.886,2341.38,2551.658
153,1662.611,238.868,2341.38,2550.32
154,1661.861,238.85,2341.38,2548.99
155,1661.116,238.832,2341.38,2547.67
156,1660.375,238.815,2341.38,2546.358
157,1659.64,238.797,2341.38,2545.054
158,1658.909,238.78,2341.38,2543.759
159,1658.183,238.762,2341.38,2542.471
160,1657.461,238.745,2341.38,2541.192
161,1656.744,238.728,2341.38,2539.921
162,1656.032,238.711,2341.38,2538.658
163,1655.324,238.694,2341.38,2537.403
164,1654.62,238.677,2341.38,2536.156
165,1653.921,238.66,2341.38,2534.918
166,1653.227,238.644,2341.38,2533.687
167,1652.537,238.627,2341.38,2532.463
168,1651.851,238.611,2341.38,2531.248
169,1650.212,238.572,1808.24,2528.342
170,1647.628,238.51,1808.24,2523.761
171,1645.06,238.448,1808.24,2519.21
172,1642.508,238.387,1808.24,2514.687
173,1639.973,238.327,1808.24,2510.193
174,1637.454,238.266,1808.24,2505.728
175,1634.951,238.207,1808.24,2501.292
176,1632.464,238.147,1808.24,2496.883
177,1629.993,238.088,1808.24,2492.503
178,1627.959,238.039,1808.24,1954.831
179,1627.838,238.036,1808.24,1809.719
180,1627.836,238.036,1808.24,1808.2
181,1627.836,238.036,1808.24,1808.2
182,1627.836,238.036,1808.24,1808.2
183,1627.836,238.036,1808.24,1808.2
184,1627.836,238.036,1808.24,1808.2
185,1627.836,238.036,1808.24,1808.2
186,1627.836,238.036,1808.24,1808.2
187,1627.836,238.036,1808.24,1808.2
188,1627.836,238.036,1808.24,1808.2
189,1627.836,238.036,1808.24,1808.2
190,1627.836,238.036,1808.24,1808.2
191,1627.836,238.036,1808.24,1808.2
192,1627.836,238.036,1808.24,1808.2
193,1627.698,238.033,1595.07,1644.094
194,1627.658,238.032,1595.07,1595.471
195,1627.657,238.032,1595.07,1595.471
196,1627.657,238.032,1595.07,1595.471
197,1627.657,238.032,1595.07,1595.471
198,1627.657,238.032,1595.07,1595.471
199,1627.657,238.032,1595.07,1595.471
200,1627.657,238.032,1595.07,1595.471
201,1627.657,238.032,1595.07,1595.471
202,1627.657,238.032,1595.07,1595.471
203,1627.657,238.032,1595.07,1595.471
204,1627.657,238.032,1595.07,1595.471
205,1627.657,238.032,1595.07,1595.471
206,1627.657,238.032,1595.07,1595.471
207,1627.657,238.032,1595.07,1595.471
208,1627.657,238.032,1595.07,1595.471
209,1627.657,238.032,1595.07,1595.471
210,1627.657,238.032,1595.07,1595.471
211,1627.657,238.032,1595.07,1595.471
212,1627.657,238.032,1595.07,1595.471
213,1627.657,238.032,1595.07,1595.471
214,1627.657,238.032,1595.07,1595.471
215,1627.657,238.032,1595.07,1595.471
216,1627.657,238.032,1595.07,1595.471
217,1627.636,238.032,1562.65,1570.399
218,1627.63,238.031,1562.65,1562.801
219,1627.63,238.031,1562.65,1562.801
220,1627.63,238.031,1562.65,1562.801
221,1627.63,238.031,1562.65,1562.801
222,1627.63,238.031,1562.65,1562.801
223,1627.63,238.031,1562.65,1562.801
224,1627.63,238.031,1562.65,1562.801
225,1627.63,238.031,1562.65,1562.801
226,1627.63,238.031,1562.65,1562.801
227,1627.63,238.031,1562.65,1562.801
228,1627.63,238.031,1562.65,1562.801
229,1627.63,238.031,1562.65,1562.801
230,1627.63,238.031,1562.65,1562.801
231,1627.63,238.031,1562.65,1562.801
232,1627.63,238.031,1562.65,1562.801
233,1627.63,238.031,1562.65,1562.801
234,1627.63,238.031,1562.65,1562.801
235,1627.63,238.031,1562.65,1562.801
236,1627.63,238.031,1562.65,1562.801
237,1627.63,238.031,1562.65,1562.801
238,1627.63,238.031,1562.65,1562.801
239,1627.63,238.031,1562.65,1562.801
240,1627.63,238.031,1562.65,1562.801
